# source http://cdsarc.u-strasbg.fr/viz-bin/qcat?J/A+A/578/A110#sRM-F.62
# PairID, IDinpair, RAdeg, DECdeg, z
 333 1 348.66306  -9.43886 0.03244
 333 2 348.67651  -9.46270 0.03241
 334 1 194.32274  59.06733 0.02227
 334 2 194.45601  59.05055 0.02221
 335 1 197.37901  60.10264 0.02831
 335 2 197.23164  60.24385 0.02815
 336 1 202.54578  59.99539 0.02917
 336 2 202.58264  59.99732 0.02871
 337 1 129.73347  43.43121 0.05447
 337 2 129.75121  43.38904 0.05465
 338 1 148.99559   6.56624 0.06212
 338 2 148.97781   6.51538 0.06255
 339 1 144.47670   6.65362 0.07202
 339 2 144.46248   6.62182 0.07234
 340 1 151.07120   6.13966 0.04022
 340 2 151.06650   6.14122 0.04034
