#"Cosmicflows-3 Distances" "Cosmicflows-3 Distances" "Cosmicflows-3 Distances" "Cosmicflows-3 Distances" "Cosmicflows-3 Distances" "Cosmicflows-3 Distances" "Cosmicflows-3 Distances"
#pgc Dist Nd RAJ DeJ Ks Vcmb Vmod
#%7s %6.2f %1d %8s %9s %5.2f %5d %5d
#--- Mpc  hms damas mag km/s km/s
#"The Catalogue of Principal Galaxies (PGC) Number" "Luminosity distance (weighted average if more than one source)" "Number of distance sources" "Right Ascension (J2000)" "Declination (J2000)" "2MASS Ks magnitude, extinction corrected from Huchra et al. 2012 or else Lavaux-Hudson 2011" "Velocity in CMB standard of rest (Fixsen et al. 1996)" "Velocity in CMB standard of rest adjusted in accordance with a cosmological model with Omega_matter=0.27 and Omega_Lambda=0.73"
1376799 212.81 1 231810.2 +101503 0.00 11827 12194
1377170 258.23 1 023858.4 +101634 0.00 19525 20517
1381516 107.15 1 141423.2 +103445 0.00 8725 8926
1382940 69.18 1 020943.1 +104037 0.00 6558 6672
1389216 181.97 1 144717.6 +110748 0.00 16277 16969
1389223 279.25 1 123857.7 +110746 0.00 18359 19238
1389336 88.72 1 103000.8 +110818 0.00 9957 10217
1390967 313.33 1 225109.0 +111521 0.00 23558 24997
1391345 87.90 1 235301.1 +111658 0.00 4875 4938
1392929 138.04 1 003618.1 +112335 0.00 10447 10734
1396262 147.91 1 081825.0 +113707 0.00 9922 10181
1401067 79.80 1 224921.6 +115556 0.00 6929 7056
1407580 202.30 1 151129.5 +121936 0.00 13541 14022
1409124 143.22 1 102506.6 +122453 0.00 10309 10589
1418618 242.10 1 094953.4 +125432 0.00 14301 14837
1425156 332.66 1 121549.2 +131148 0.00 19796 20817
1435898 152.76 1 231348.9 +133716 0.00 11325 11662
1442607 98.17 1 221245.2 +135147 0.00 7694 7850
1444949 169.82 1 232403.4 +135652 0.00 12447 12854
1445127 89.95 1 221135.9 +135714 0.00 7339 7481
1445623 119.12 1 232449.2 +135815 0.00 11810 12177
1446045 83.18 1 221315.5 +135901 0.00 7739 7898
1446384 169.04 1 232449.0 +135947 11.72 11797 12163
1447416 106.66 1 013114.5 +140200 0.00 8625 8821
1452302 172.98 1 232510.7 +141258 0.00 13262 13723
1454218 182.81 1 232321.3 +141704 0.00 12664 13085
1455562 190.55 1 232329.4 +142019 0.00 12098 12482
1457254 154.88 1 232519.8 +142419 0.00 12237 12630
1461318 159.22 1 232400.3 +143348 0.00 10896 11208
1463291 169.82 1 232437.2 +143833 11.58 12269 12664
1463984 168.27 1 232439.7 +144003 0.00 11374 11714
1464703 169.82 1 232428.3 +144142 0.00 12787 13216
1465051 169.04 1 232423.6 +144226 0.00 11894 12265
1465648 199.53 1 005243.9 +144345 0.00 16378 17079
1465905 200.45 1 160520.5 +144422 0.00 12585 13000
1467196 196.79 1 232517.2 +144717 0.00 12859 13293
1467476 113.24 1 160540.8 +144758 12.32 12280 12676
1468338 152.05 1 015715.2 +145007 0.00 9704 9952
1468343 127.64 1 232407.2 +145006 0.00 11110 11434
1469562 118.58 1 032210.1 +145300 0.00 9912 10171
1469623 255.86 1 232437.8 +145310 0.00 20429 21515
1475215 209.89 1 011311.9 +150558 0.00 13315 13780
1476347 154.88 1 155921.1 +150821 0.00 12907 13344
1476973 201.37 1 232508.9 +150944 0.00 12420 12825
1477895 245.47 1 011551.6 +151148 0.00 16084 16761
1479252 133.66 1 011324.2 +151427 0.00 12185 12574
1479872 213.80 1 011322.8 +151552 0.00 17580 18386
1481751 141.25 1 020139.6 +151958 0.00 13191 13647
1482823 180.30 1 232531.7 +152211 0.00 11696 12055
1488562 170.61 1 011259.4 +153530 0.00 11881 12252
1488619 160.69 1 160642.6 +153535 0.00 11726 12087
1489662 181.13 1 011415.8 +153812 0.00 12504 12915
1500391 140.60 1 160410.5 +160515 0.00 10518 10809
1500765 177.01 1 155822.4 +160609 0.00 11679 12038
1502228 133.05 1 160658.2 +160944 0.00 12299 12696
1502572 131.22 1 160603.5 +161032 0.00 10494 10784
1509294 196.79 1 160416.0 +162737 0.00 12880 13315
1513730 133.66 1 160441.4 +163858 0.00 13619 14105
1514780 130.02 1 145118.9 +164141 0.00 14031 14547
1554167 169.82 1 160644.6 +181444 0.00 11689 12048
1561674 292.42 1 014033.7 183036 0.00 19194 20154
1562129 161.44 1 232115.7 +183133 0.00 11047 11368
1573175 146.55 1 231848.0 +185230 0.00 10987 11304
1574006 267.92 1 231858.5 +185410 0.00 22437 23744
1622083 90.78 1 101309.8 +201601 0.00 9054 9270
1639427 190.55 1 135327.3 +205705 0.00 8728 8929
1656750 86.70 1 111112.1 +214548 0.00 10295 10574
1661144 149.97 1 110943.2 +215845 0.00 10437 10723
1661236 104.71 1 002120.9 +215900 0.00 5296 5370
1662109 77.98 1 002147.8 +220136 0.00 5495 5575
1662132 162.93 1 122941.1 +220142 0.00 11379 11719
1662734 124.74 1 111048.2 +220333 0.00 10138 10409
1663698 114.82 1 111025.9 +220637 0.00 9770 10021
1665955 148.59 1 111009.8 +221335 0.00 10211 10485
1670109 72.44 1 110953.6 +222659 0.00 6733 6853
1670777 62.23 1 110925.0 +222901 0.00 6738 6858
1670873 413.05 1 155812.3 +222921 0.00 26692 28534
1671434 136.14 1 111020.7 +223105 0.00 10024 10288
1674937 114.29 1 023036.6 +224309 0.00 9488 9725
1676859 143.22 1 112538.9 +224952 0.00 9621 9865
1690699 152.05 1 022654.4 +233731 0.00 9889 10147
1692398 158.49 1 161207.7 +234305 0.00 9648 9893
1694691 158.49 1 161205.9 +235029 0.00 9784 10036
1708308 125.31 1 160113.3 +242853 0.00 12611 13029
1713203 196.79 1 232340.6 +244010 0.00 12081 12464
1721056 114.29 1 135556.2 +245704 0.00 8973 9185
1732121 292.42 1 160320.8 +251833 0.00 26430 28236
1734249 292.42 1 160322.2 +252221 0.00 26154 27923
1737049 291.07 1 160303.4 +252711 0.00 25812 27536
1738736 284.45 1 160403.0 +252949 0.00 21730 22957
1739159 293.76 1 160247.8 +253032 0.00 27321 29249
1753152 77.98 1 233142.9 +255218 0.00 6403 6512
1758561 121.34 1 234200.9 +255953 0.00 8929 9139
1763946 79.80 1 233030.0 +260755 0.00 7708 7864
1793779 63.97 1 003856.0 +265752 0.00 4851 4913
1798333 86.70 1 234249.8 +270713 0.00 7352 7494
1801805 134.90 1 022423.5 +271405 0.00 9444 9678
1806748 272.90 1 234317.3 +272339 0.00 17064 17825
1808334 130.62 1 092822.6 +272640 0.00 10123 10393
1809186 104.23 2 234518.3 +272821 0.00 8856 9063
1809211 264.24 1 022347.2 +272824 0.00 10296 10575
1810526 149.97 1 234738.3 +273112 11.64 7981 8148
1815965 187.93 1 014920.1 +274244 0.00 10484 10773
1824266 10.52 1 103155.8 +280133 16.36 748 749
1831130 85.51 1 234217.2 +281623 0.00 8397 8583
1833413 276.69 1 150446.3 +282114 0.00 16890 17636
1834233 231.21 1 150501.2 +282303 0.00 18100 18955
1835989 257.04 1 150459.5 +282648 0.00 16193 16878
1836879 232.27 1 150336.7 +282833 0.00 17355 18141
1838764 238.78 1 150555.4 +283224 0.00 17485 18283
1840860 186.21 1 150457.7 +283644 0.00 16934 17683
1846759 337.29 1 150509.6 +284847 0.00 17117 17882
1855357 222.84 1 111438.9 +290526 0.00 14118 14640
1856846 105.68 1 001018.8 +290816 0.00 7712 7869
1857389 169.82 1 111501.8 +290920 0.00 13910 14417
1860546 207.97 1 111429.3 +291515 0.00 14842 15419
1861092 320.63 1 111513.2 +291616 0.00 21413 22605
1861750 104.23 1 161414.9 +291732 0.00 9916 10175
1870646 240.99 1 161216.7 +293423 0.00 16362 17062
1870985 178.65 1 134411.6 +293500 0.00 15631 16270
1871091 119.67 1 003840.6 +293511 11.69 4998 5064
1898745 189.67 1 082917.4 +301842 0.00 14646 15208
1903352 224.91 1 082907.4 +302539 0.00 14315 14851
1904601 277.97 1 082858.9 +302729 0.00 15403 16023
1907590 422.67 1 083028.3 +303200 0.00 28127 30168
1908158 253.51 1 082927.5 +303256 0.00 14725 15292
1909877 269.15 1 082957.4 +303529 0.00 15101 15698
1912421 219.79 1 082947.1 +303921 0.00 14883 15462
1920322 366.44 1 083028.3 +305029 0.00 22310 23602
1922971 169.82 1 161304.9 +305405 11.31 14870 15449
1929516 61.66 1 040612.7 +310308 0.00 4269 4318
1931375 292.42 1 122651.9 +310538 12.02 18219 19085
1965643 119.12 1 230524.6 +314836 0.00 6400 6509
1997771 157.04 1 015054.5 +322719 0.00 10448 10735
2000082 101.86 1 015051.2 +323023 0.00 10293 10572
2000268 203.24 1 015049.0 +323036 0.00 10972 11288
2015761 141.25 1 015106.9 +325241 0.00 10696 10997
2035308 166.72 1 015044.1 +333544 0.00 9613 9856
2048050 166.72 1 112207.4 +342158 11.66 10524 10815
2054801 138.68 1 020450.6 +344814 0.00 11416 11758
2057095 145.88 1 224947.2 +345657 0.00 6798 6920
2062277 100.46 1 223030.8 +351730 0.00 6039 6136
2062839 166.72 1 112615.7 +351942 0.00 11172 11500
2063222 133.05 1 142458.3 +352116 0.00 8814 9019
2064586 115.35 1 112347.0 +352632 0.00 10486 10776
2078048 111.17 1 094315.2 +361704 0.00 6430 6539
2091294 118.58 1 004211.6 +370056 0.00 10314 10594
2120436 121.90 1 135221.3 +381145 12.09 5850 5940
2147337 147.91 1 162757.5 +391510 0.00 8983 9196
2147388 132.43 1 162711.0 +391818 0.00 7869 8032
2158152 213.80 1 162956.6 +395637 0.00 17818 18646
2158386 106.66 1 162819.7 +395732 0.00 9424 9657
2180379 128.82 1 155345.4 +412325 0.00 11000 11318
2180748 128.23 1 155414.2 +412453 0.00 10450 10737
2181261 127.64 1 155509.4 +412654 0.00 10138 10408
2181376 90.36 1 031943.8 +412725 0.00 3746 3783
2181535 127.64 1 155514.2 +412802 0.00 9679 9925
2182017 128.23 1 155352.8 +412951 0.00 10298 10577
2200435 164.44 1 175930.2 +423054 11.09 15206 15811
2202009 164.44 1 175911.6 +423529 0.00 15254 15863
2206347 164.44 1 180240.3 +424743 10.96 14957 15543
2209792 163.68 1 180304.4 +425721 0.00 14099 14620
2227272 130.62 1 173308.8 +434234 0.00 10159 10431
2230731 130.62 1 173235.2 +435109 0.00 10405 10690
2291124 100.93 1 024810.7 +470136 0.00 8027 8196
2292403 100.93 1 024859.7 +470612 11.69 7747 7906
2293754 101.39 1 025012.7 +471051 10.47 8782 8985
2333140 150.66 1 113526.2 +490513 0.00 9847 10102
2364930 187.93 1 163142.5 +501003 0.00 13267 13728
2371774 187.93 1 163301.0 +502342 0.00 13783 14281
2375795 187.93 1 163306.0 +503209 0.00 13756 14252
2504137 120.23 1 072548.5 +552941 0.00 10815 11122
2543081 8.75 1 115754.2 +563816 16.84 577 578
2565109 123.59 1 171624.0 +572521 0.00 8745 8947
2569702 123.03 1 171453.6 +574024 0.00 8215 8393
2640825 89.54 1 175522.9 +623929 0.00 7703 7860
2777218 187.07 1 165039.6 +783907 11.43 16783 17518
2785376 145.21 1 165107.1 +813457 0.00 11205 11535
2785443 145.88 1 165212.8 +813712 11.66 11805 12171
2785924 145.88 1 170142.3 +815445 0.00 11653 12009
2790835 168.27 1 160131.6 +152824 0.00 9237 9462
2790838 140.60 1 160212.8 +155427 10.83 10824 11132
2793452 159.96 1 033624.1 -253948 0.00 14525 15078
2793455 289.73 1 100116.9 -180237 0.00 15064 15657
2793467 208.93 1 125654.1 -330012 0.00 15156 15757
2793504 265.46 1 133836.2 -354318 0.00 15708 16354
2793516 178.65 1 135230.8 -275623 0.00 14928 15511
2793530 103.28 1 140720.9 -270040 11.65 6156 6256
2793535 260.62 1 140545.5 -271813 0.00 15792 16445
2793659 204.17 1 021330.4 +165252 0.00 10581 10876
2793692 133.66 1 132832.9 -283622 0.00 13096 13546
2793696 177.01 1 133125.7 -302545 0.00 14937 15522
2793719 230.14 1 133303.7 -331255 0.00 14020 14535
2799985 167.49 1 133012.3 -293006 0.00 14767 15338
2800497 284.45 1 004122.1 -095240 0.00 16010 16680
2800813 95.06 1 092041.8 +334340 0.00 7452 7598
2800814 179.47 1 070357.0 -490413 0.00 12305 12703
2800815 187.93 1 071008.7 -492432 0.00 13137 13590
2800818 147.23 1 111003.1 +214103 0.00 9704 9952
2800819 103.75 1 111020.2 +211925 0.00 9565 9805
2800820 452.90 1 125311.0 -291107 0.00 28349 30422
2800821 313.33 1 125423.0 -284213 0.00 20893 22028
2800822 188.80 1 133411.4 -350402 0.00 15224 15831
2800823 154.17 1 133457.1 -350834 0.00 15320 15935
2800824 166.72 1 133743.2 -352944 0.00 15373 15992
2800825 235.50 1 133846.5 -353052 0.00 16127 16806
2800826 204.17 1 133921.9 -354312 0.00 16262 16953
2800827 62.81 1 140857.2 -270256 0.00 5525 5605
2800828 356.45 1 150618.0 +284342 0.00 21085 22241
2800830 248.89 1 151338.2 +071939 0.00 13889 14394
2800831 212.81 1 151416.2 +072023 0.00 13541 14021
2800832 108.64 1 200433.7 -390711 11.48 6045 6142
2800833 136.14 1 231625.4 +182813 0.00 11067 11388
2800834 306.20 1 232012.3 +184855 0.00 22572 23895
2800835 446.68 1 232232.2 +164717 0.00 20900 22036
2800836 176.20 1 232302.2 +173218 0.00 10916 11229
2800837 168.27 1 232310.1 +173821 0.00 11403 11744
2800838 181.97 1 232508.5 +162236 0.00 12798 13227
2800839 180.30 1 232350.6 +135325 0.00 12609 13026
2800840 194.09 1 232538.5 +152115 11.06 11982 12359
2800841 75.86 1 234130.9 +090422 0.00 4908 4972
2800842 164.44 1 234313.9 +083455 0.00 10400 10684
2800843 187.07 1 234727.4 +091554 0.00 12550 12963
2800861 214.78 1 131929.1 -333106 0.00 15222 15828
2800872 212.81 1 133001.2 -275830 0.00 10709 11011
2800876 279.25 1 133227.2 -373049 0.00 15554 16187
2800880 131.83 1 133301.5 -330601 0.00 15280 15890
2800897 261.82 1 134033.6 -354027 0.00 15710 16355
2800918 165.20 1 214349.4 -080427 0.00 14963 15550
2800920 169.04 1 212215.0 -092558 0.00 12027 12407
2800922 127.64 1 212425.9 -113111 0.00 8698 8898
2801188 123.03 1 174511.6 -553308 0.00 14831 15407
2801255 98.63 1 181316.5 -492005 0.00 8185 8362
2801334 77.27 1 112856.9 -464008 0.00 5880 5971
2801552 195.88 1 082449.5 -135134 0.00 15759 16409
2801563 160.69 1 123025.2 -500800 0.00 12029 12409
2801565 58.08 1 123018.5 -494400 0.00 3990 4032
2801704 238.78 1 135637.3 -461557 0.00 15984 16652
2801721 86.70 1 115219.7 -722943 0.00 7279 7419
2801733 127.06 1 131537.0 -732214 0.00 7270 7409
2801803 90.78 1 173237.4 -534727 0.00 7924 8090
2802124 138.68 1 180325.9 -522841 0.00 9679 9926
2802356 183.65 1 172906.5 -652314 0.00 14902 15483
2802357 160.69 1 172908.8 -652248 0.00 15030 15621
2802358 136.77 1 172859.1 -664747 0.00 12511 12922
2802451 116.95 1 135802.6 -154256 0.00 10741 11044
2802458 220.80 1 134038.1 -335927 0.00 15099 15695
2807042 82.04 1 102459.1 -172536 0.00 8570 8764
2816665 30.62 1 092855.0 -294020 0.00 2390 2406
2817450 79.43 1 061750.9 -325120 0.00 7399 7544
2817459 237.68 1 205521.0 -544528 0.00 13066 13514
2828182 79.80 1 145433.4 -374755 0.00 7409 7554
2832013 141.91 1 045653.6 -181444 0.00 9515 9753
2832016 165.20 1 045933.3 -181217 0.00 12718 13142
2832019 192.31 1 050357.9 -240032 0.00 11995 12373
2944028 198.61 1 054800.9 -130904 0.00 12931 13370
3073574 64.27 1 105921.7 -432824 0.00 5295 5369
3073577 80.17 1 115420.4 -514652 0.00 6306 6411
3078882 242.10 1 165226.6 -595853 0.00 15248 15856
3078892 202.30 1 165238.3 -595727 0.00 14468 15016
3080195 258.23 1 002037.3 -131719 0.00 16133 16813
3080236 139.32 1 005403.6 -473156 0.00 9495 9732
3080277 105.20 1 011503.7 -443341 0.00 8647 8844
3080280 179.47 1 012112.7 -142416 0.00 14912 15494
3080294 131.83 1 012955.2 -202629 0.00 9550 9790
3080296 124.17 1 013051.7 -224242 0.00 9674 9921
3080315 209.89 1 013716.7 -064522 0.00 12232 12624
3080328 123.59 1 014537.1 -401715 0.00 6171 6272
3080377 165.20 1 022907.5 -184510 0.00 9774 10025
3080404 152.76 1 024345.9 -081057 0.00 8933 9143
3080405 85.51 1 024420.8 -163921 0.00 7304 7445
3080428 171.40 1 030604.7 -055323 0.00 8685 8884
3080464 198.61 1 032514.3 -691003 0.00 14843 15420
3080539 199.53 1 040138.3 -042822 0.00 11167 11495
3080545 107.15 1 040313.2 -092255 0.00 9373 9604
3080554 155.60 1 040434.3 -094057 0.00 9595 9838
3080585 149.97 1 041507.4 -130744 0.00 9454 9689
3080588 157.76 1 041538.6 -005750 0.00 8269 8449
3080592 203.24 1 041612.9 -023636 0.00 12659 13080
3080605 112.72 1 041857.6 -014131 0.00 11984 12361
3080607 157.04 1 041944.1 -001526 0.00 12192 12582
3080611 193.20 1 042029.0 -062507 0.00 11695 12055
3080628 154.88 1 042550.7 -103740 0.00 11168 11496
3080641 121.34 1 042846.9 -120939 0.00 9519 9758
3080642 172.19 1 042853.7 -091829 0.00 11575 11927
3080661 121.34 1 043620.4 -135432 0.00 10536 10828
3080662 131.83 1 043700.5 -110128 0.00 10316 10596
3080677 198.61 1 044242.7 -365115 0.00 12844 13277
3080686 129.42 1 044536.0 -160605 0.00 10825 11133
3080692 89.95 1 044805.6 -133953 0.00 5931 6024
3080708 143.88 1 045220.5 -193149 0.00 11901 12273
3080738 287.08 1 050025.4 -211431 0.00 15217 15823
3080761 138.68 1 050129.4 -191740 0.00 12810 13240
3080764 113.24 1 050149.9 -250410 0.00 11456 11801
3080768 125.89 1 050215.0 -245046 0.00 14057 14574
3080783 199.53 1 050432.3 -250850 0.00 12101 12486
3080788 196.79 1 050553.1 -283700 0.00 11454 11799
3080818 263.03 1 051131.7 -255420 0.00 13973 14485
3080825 135.52 1 051250.3 -240755 0.00 9979 10241
3080826 144.54 1 051253.4 -232645 0.00 9729 9978
3080830 107.65 1 051453.5 -033008 0.00 8588 8783
3080851 114.29 1 051918.2 -290124 0.00 10536 10828
3080854 98.63 1 051927.8 -232116 0.00 10069 10336
3080858 134.90 1 051934.3 -143833 0.00 10740 11043
3080871 230.14 1 052016.9 -252618 0.00 10601 10897
3080879 167.49 1 052108.0 -521352 0.00 15155 15756
3080892 132.43 1 052159.3 -024029 0.00 14702 15268
3080894 141.91 1 052208.1 -025732 0.00 15628 16267
3080900 260.62 1 052427.5 -031242 0.00 15106 15704
3080944 115.35 1 052921.3 -280157 0.00 10717 11019
3080948 94.62 1 052932.0 -193250 0.00 8371 8555
3080960 284.45 1 053014.9 -065457 0.00 14348 14888
3080977 87.10 1 053222.1 -214822 0.00 8493 8683
3080983 132.43 1 053329.6 -304933 0.00 11198 11527
3080993 119.12 1 053416.5 -363535 0.00 14034 14550
3081009 169.04 1 053510.0 -502206 0.00 12338 12738
3081014 300.61 1 053554.7 -500821 0.00 14402 14945
3081015 89.54 1 053557.5 -083117 0.00 7878 8041
3081053 133.05 1 053811.4 -335910 0.00 10963 11279
3081075 207.01 1 054100.4 -483633 0.00 15620 16258
3081078 207.01 1 054131.3 -412339 0.00 14475 15024
3081097 202.30 1 054947.4 -331709 0.00 15454 16079
3081104 155.60 1 055109.5 -510244 0.00 10260 10537
3081121 194.98 1 055243.1 -401342 0.00 13529 14009
3081127 192.31 1 055413.9 -484836 0.00 14595 15153
3081137 101.86 1 055615.6 -413950 0.00 11308 11644
3081138 157.04 1 055616.0 -402358 0.00 13540 14021
3081142 133.66 1 055641.1 -363249 0.00 13590 14074
3081154 254.68 1 060027.5 -585146 0.00 11290 11624
3081164 251.19 1 060304.5 -264415 0.00 11935 12309
3081171 149.28 1 060407.4 -125501 0.00 12689 13111
3081174 128.23 1 060504.6 -263143 0.00 12301 12698
3081191 102.33 1 061055.2 -095812 0.00 6867 6991
3081197 128.82 1 061244.4 -414735 0.00 12110 12495
3081201 194.98 1 061350.7 -361113 0.00 11589 11942
3081246 161.44 1 062648.6 -555648 0.00 15762 16412
3081265 210.86 1 062901.5 -563416 0.00 15852 16509
3081276 121.90 1 063124.8 -553730 0.00 4780 4840
3081285 147.91 1 063406.3 -351257 0.00 7983 8152
3081286 199.53 1 063409.1 -362730 0.00 12953 13393
3081288 162.18 1 063420.9 -275305 0.00 12704 13128
3081316 132.43 1 064613.6 -612542 0.00 11955 12330
3081328 168.27 1 065111.0 -432107 0.00 11237 11569
3081329 121.34 1 065115.7 -613424 0.00 11915 12288
3081397 143.22 1 072834.9 -505930 0.00 12312 12710
3081431 61.94 1 080010.3 -095406 0.00 6962 7090
3081460 187.93 1 083502.2 -082013 0.00 13180 13635
3081480 152.76 1 084640.8 -042656 0.00 12913 13351
3081494 169.82 1 084820.4 -115343 0.00 15162 15764
3081499 165.96 1 085148.0 -051026 0.00 13162 13617
3081500 133.66 1 085213.6 -221943 0.00 7446 7593
3081509 151.36 1 085541.4 -121553 0.00 15694 16338
3081510 102.80 1 085543.9 -263841 0.00 9873 10129
3081513 136.77 1 085602.1 -251747 0.00 13056 13503
3081516 185.35 1 085615.3 -101135 0.00 9778 10029
3081538 133.05 1 090512.9 -200842 0.00 11351 11689
3081548 229.09 1 090703.1 -202656 0.00 13740 14235
3081564 113.24 1 091426.0 -243508 0.00 10249 10526
3081598 100.46 1 092103.7 -201432 0.00 11005 11324
3081613 128.23 1 092552.6 -315224 0.00 13046 13492
3081624 320.63 1 093620.7 -245338 0.00 15268 15878
3081638 172.98 1 094053.8 -360131 0.00 13045 13491
3081658 91.20 1 095008.5 -050625 0.00 6149 6248
3081659 107.15 1 095024.8 -215146 0.00 8965 9177
3081683 136.14 1 100325.0 -155800 0.00 9930 10189
3081697 167.49 1 100659.3 -093726 0.00 12914 13352
3081708 83.56 1 101426.8 -172601 0.00 9047 9262
3081744 281.84 1 102749.4 -144659 0.00 12128 12514
3081766 89.95 1 103548.5 -435425 0.00 6561 6675
3081777 148.59 1 104613.0 -442925 0.00 12420 12825
3081779 187.07 1 104823.8 -443758 0.00 13823 14324
3081786 73.11 1 105648.3 -153534 0.00 7993 8162
3081874 172.98 1 113454.5 -432128 0.00 13418 13890
3081881 106.17 1 113751.7 -170256 0.00 6988 7117
3081887 158.49 1 114149.8 -152154 0.00 15478 16105
3081899 88.72 1 114559.0 -171500 0.00 7049 7180
3081922 124.74 1 114946.8 -155538 0.00 9286 9513
3081929 98.17 1 115154.7 -470117 0.00 11684 12043
3081930 183.65 1 115200.0 -490247 0.00 12449 12856
3081972 183.65 1 121131.2 -194701 0.00 14137 14661
3082003 109.14 1 122353.4 -212402 0.00 13118 13569
3082014 82.79 1 122706.0 -472339 0.00 5670 5755
3082041 142.56 1 123949.4 -442324 0.00 9725 9974
3082044 113.24 1 124040.7 -085200 0.00 11237 11569
3082048 85.90 1 124201.6 -202436 0.00 6588 6702
3082061 141.25 1 124505.4 -430523 0.00 9531 9770
3082079 154.17 1 125012.1 -194947 0.00 12134 12521
3082085 239.88 1 125104.1 -195943 0.00 14270 14803
3082101 150.66 1 125912.3 -192543 0.00 13495 13972
3082107 248.89 1 125927.4 -192028 0.00 14229 14759
3082109 111.69 1 125935.3 -183235 0.00 14230 14760
3082113 126.47 1 125959.9 -222402 0.00 9465 9700
3082119 78.34 1 130151.0 -434248 0.00 9413 9647
3082126 113.24 1 130337.2 -235507 0.00 14262 14795
3082129 172.98 1 130348.8 -194616 0.00 14575 15132
3082139 202.30 1 130439.6 -221143 0.00 13829 14330
3082207 137.40 1 132135.9 -422301 0.00 15875 16534
3082209 161.44 1 132146.8 -414407 0.00 11910 12282
3082221 84.33 1 132322.2 -441553 0.00 10903 11216
3082228 177.01 1 132519.9 -092440 0.00 14197 14725
3082232 167.49 1 132722.5 -252346 0.00 13732 14226
3082240 128.23 1 132814.7 -243701 0.00 13656 14145
3082241 142.56 1 132821.5 -252835 0.00 13930 14438
3082268 121.90 1 133352.7 -330051 0.00 13620 14106
3082292 177.01 1 133715.3 -481801 0.00 14012 14527
3082326 203.24 1 134234.0 -400654 0.00 15159 15760
3082330 133.66 1 134333.6 -432611 0.00 8019 8189
3082337 172.19 1 134442.2 -380610 0.00 14243 14774
3082357 107.15 1 135026.0 -375525 0.00 10472 10760
3082367 228.03 1 135201.2 -440908 0.00 15032 15623
3082370 196.79 1 135238.6 -325316 0.00 11408 11750
3082393 216.77 1 140057.7 -211534 0.00 10306 10586
3082407 110.66 1 140509.7 -324551 0.00 10584 10878
3082431 224.91 1 141335.8 -453411 0.00 15848 16505
3082437 160.69 1 141626.6 -482121 0.00 4543 4598
3082468 124.17 1 142503.1 -444934 0.00 6655 6772
3082479 168.27 1 142834.3 -294621 0.00 11568 11919
3082488 217.77 1 143320.1 -334439 0.00 11926 12299
3082512 235.50 1 144028.8 -292648 0.00 14703 15269
3082519 135.52 1 144149.7 -364559 0.00 7618 7771
3082520 145.21 1 144209.3 -352657 0.00 11998 12376
3082553 187.93 1 145401.9 -423657 0.00 15155 15756
3082563 123.59 1 145545.7 -394602 0.00 16114 16793
3082564 76.21 1 145717.2 -372757 0.00 6480 6591
3082572 99.08 1 150334.1 -220608 0.00 11561 11913
3082580 101.86 1 150553.4 -140909 0.00 7847 8009
3082584 107.65 1 150720.5 -383542 0.00 7431 7577
3082585 154.17 1 150721.3 -383630 0.00 7711 7868
3082609 100.93 1 153027.5 -201147 0.00 7545 7695
3082639 161.44 1 160948.9 -041133 0.00 8578 8772
3082647 132.43 1 161347.4 -210054 0.00 9595 9837
3082676 102.80 1 163356.9 -102142 0.00 8318 8500
3082683 128.82 1 164440.0 -154055 0.00 8323 8506
3082692 129.42 1 165120.1 -144439 0.00 8360 8544
3082704 119.12 1 172952.0 -113548 0.00 8180 8356
3082705 292.42 1 174834.3 -642921 0.00 15981 16648
3082712 139.32 1 180834.9 -664402 0.00 12869 13303
3082723 180.30 1 184448.4 -761840 0.00 12448 12854
3082794 199.53 1 193959.9 -223810 0.00 14232 14763
3082810 97.27 1 194939.0 -225441 0.00 6370 6478
3082811 136.14 1 194944.2 -093736 0.00 13429 13902
3082863 130.62 1 200437.8 -184925 0.00 10344 10626
3082897 223.87 1 201215.3 -003206 0.00 16044 16717
3082909 185.35 1 201551.5 -442615 0.00 9543 9782
3082929 138.04 1 202243.3 -525903 0.00 14917 15500
3082943 116.41 1 202425.5 -070419 0.00 5388 5464
3082955 67.30 1 203204.8 -195949 0.00 7758 7917
3082973 147.23 1 203807.7 -513420 0.00 14546 15100
3082974 184.50 1 203814.1 -155616 0.00 15916 16579
3082975 120.78 1 203857.1 -224412 0.00 7305 7446
3082984 181.13 1 204300.8 -481900 0.00 13658 14147
3082989 198.61 1 204340.5 -511335 0.00 14514 15066
3082997 184.50 1 204444.6 -441216 0.00 10962 11278
3082999 123.03 1 204451.4 -541434 0.00 11948 12323
3083008 216.77 1 205007.9 -113024 0.00 10685 10985
3083024 145.88 1 205549.7 -540810 0.00 9049 9265
3083027 188.80 1 205559.5 -431954 0.00 14465 15013
3083046 82.79 1 205825.3 -152744 0.00 8746 8947
3083052 233.35 1 210019.1 -331546 0.00 11814 12181
3083053 209.89 1 210036.0 -380906 0.00 13677 14167
3083077 175.39 1 210413.3 -600250 0.00 12456 12863
3083110 110.66 1 211000.9 -140441 0.00 8266 8446
3083115 176.20 1 211029.0 -085700 0.00 14109 14631
3083123 210.86 1 211228.4 -051707 0.00 14417 14962
3083144 153.46 1 211906.7 -214155 0.00 9169 9391
3083145 112.72 1 211918.7 -061441 0.00 8733 8934
3083147 108.14 1 211925.9 -064530 0.00 7973 8141
3083150 146.55 1 211947.5 -684744 0.00 12201 12591
3083152 77.27 1 212000.3 -050746 0.00 8198 8375
