#"Cosmicflows-3 Distances" "Cosmicflows-3 Distances" "Cosmicflows-3 Distances" "Cosmicflows-3 Distances" "Cosmicflows-3 Distances" "Cosmicflows-3 Distances" "Cosmicflows-3 Distances"
#pgc Dist Nd RAJ DeJ Ks Vcmb Vmod
#%7s %6.2f %1d %8s %9s %5.2f %5d %5d
#--- Mpc  hms damas mag km/s km/s
#"The Catalogue of Principal Galaxies (PGC) Number" "Luminosity distance (weighted average if more than one source)" "Number of distance sources" "Right Ascension (J2000)" "Declination (J2000)" "2MASS Ks magnitude, extinction corrected from Huchra et al. 2012 or else Lavaux-Hudson 2011" "Velocity in CMB standard of rest (Fixsen et al. 1996)" "Velocity in CMB standard of rest adjusted in accordance with a cosmological model with Omega_matter=0.27 and Omega_Lambda=0.73"
1474 108.14 1 002257.3 -220707 0.00 7064 7196
1478 87.90 1 002257.1 +161510 0.00 4909 4972
1481 127.06 1 002301.5 -565005 0.00 10078 10345
1511 64.57 1 002348.2 +144102 0.00 4981 5046
1520 85.51 1 002356.7 +241820 0.00 5370 5446
1524 110.66 1 002402.3 +253944 0.00 7041 7172
1525 18.54 2 002402.8 +162911 10.76 494 495
1526 94.19 1 002420.4 -141356 0.00 6943 7070
1538 270.40 1 002436.5 -112948 0.00 15968 16635
1542 100.00 1 002436.5 -135723 0.00 7006 7136
1551 54.95 1 002443.7 -050855 0.00 5740 5827
1552 58.61 1 002446.5 +293336 0.00 4341 4391
1572 70.15 1 002503.3 +312040 10.54 6479 6590
1577 95.94 1 002510.1 +062927 11.24 8322 8504
1582 90.36 1 002524.9 +064222 0.00 8594 8788
1583 66.07 1 002516.8 +125301 10.48 4834 4896
1588 110.66 1 002525.1 -413608 0.00 7794 7954
1594 55.46 1 002530.0 +244839 0.00 4214 4261
1609 70.15 1 002547.7 -021705 10.28 4982 5047
1616 56.23 1 002552.5 -093943 0.00 4890 4954
1621 156.31 1 002559.0 +142052 0.00 10838 11147
1641 2.00 2 002633.4 -415120 14.10 -116 -116
1651 28.84 2 002646.4 -334037 11.73 1566 1572
1654 86.70 1 002648.7 +314211 10.89 5974 6068
1656 47.21 1 002654.6 -023003 0.00 4007 4049
1658 51.52 2 002656.5 +500150 10.53 4914 4978
1660 58.88 1 002658.2 -014710 0.00 3802 3840
1665 28.58 2 002702.9 +113501 10.47 1783 1792
1693 51.52 1 002730.1 -013049 0.00 3639 3674
1713 59.43 2 002749.8 -011159 0.00 3570 3604
1714 26.18 1 002751.6 +032922 0.00 1035 1037
1715 44.87 1 002752.4 -014837 11.10 3719 3756
1723 42.27 1 002758.6 +023026 0.00 4054 4098
1736 84.33 1 002815.0 +304811 10.53 5955 6049
1738 143.88 1 002815.6 -484004 0.00 9283 9510
1743 130.62 1 002821.2 +272208 0.00 9263 9489
1748 63.97 1 002822.2 +023137 0.00 3940 3981
1754 76.56 1 002834.4 +331620 0.00 4428 4480
1755 96.38 1 002839.7 -130037 0.00 7449 7596
1758 76.21 1 002834.6 +310919 0.00 5774 5862
1762 100.46 1 002839.5 -113826 0.00 5845 5936
1773 107.15 1 002900.6 -081906 0.00 5906 5998
1777 6.82 1 002904.1 +432550 13.00 -94 -94
1781 12.76 1 002908.4 +155356 0.00 419 420
1797 97.72 1 002923.3 +312255 0.00 6030 6126
1802 44.67 1 002939.6 +113605 0.00 4861 4923
1806 154.88 1 002931.8 -135937 0.00 15873 16532
1813 13.24 1 002938.5 -331535 0.00 1150 1154
1814 37.15 1 002938.4 +002437 0.00 3802 3841
1816 47.21 1 002941.7 -513114 0.00 3258 3286
1828 121.90 1 002953.4 +312335 0.00 5995 6090
1851 19.23 2 003021.9 -331438 6.91 1318 1322
1858 173.78 1 003029.4 -430525 0.00 9708 9956
1879 104.71 1 003045.9 -292034 12.20 6993 7122
1897 150.66 1 003058.2 -092415 0.00 10494 10784
1908 95.06 1 003114.1 -075026 10.94 5782 5870
1910 78.70 1 003114.0 -365114 0.00 7053 7184
1911 130.62 1 003115.6 -223335 11.31 7749 7908
1913 50.35 1 003117.8 +285935 0.00 4328 4378
1924 15.28 1 003126.1 +061224 0.00 1735 1743
1926 97.72 1 003128.2 -194540 0.00 6784 6906
1927 42.27 1 003129.4 +082402 0.00 3919 3959
1932 47.42 1 003135.8 -103021 10.82 3223 3250
1933 179.47 1 003135.9 +143644 11.49 11103 11427
1957 76.56 1 003212.1 +314053 0.00 6038 6134
1961 111.69 1 003214.9 -412301 10.18 7577 7729
1968 106.66 1 003223.5 -421024 0.00 9611 9854
1970 39.99 2 003230.8 +023427 0.00 2047 2058
1971 58.88 1 003232.4 +232342 0.00 4338 4388
1977 36.48 2 003240.1 -253627 10.74 2637 2655
1979 59.98 1 003242.6 -111905 10.34 3714 3750
1980 122.46 1 003240.6 -163759 0.00 10079 10346
1982 86.70 1 003244.4 +304502 11.74 5798 5887
1986 59.43 1 003250.5 +114412 11.73 4586 4642
1987 64.57 1 003252.9 +303903 0.00 5740 5827
2001 80.91 1 003310.3 -130846 11.82 5851 5941
2003 79.43 1 003315.4 +075418 0.00 5051 5118
2004 0.73 3 003312.0 +483031 7.95 -455 -454
2011 191.43 1 003301.5 -672835 0.00 12202 12593
